iter	RMSE
0	16.33582168
1	16.21762734
2	16.10047735
3	15.98525421
4	15.87224965
5	15.76236771
6	15.65048503
7	15.53968245
8	15.4309802
9	15.32241262
10	15.21599006
11	15.11237181
12	15.00725896
13	14.90478417
14	14.80280796
15	14.70269361
16	14.60367729
17	14.50460825
18	14.40758431
19	14.31147839
20	14.21714137
21	14.12364164
22	14.03194785
23	13.94300205
24	13.85251209
25	13.76303528
26	13.6758726
27	13.58939238
28	13.50285224
29	13.41874153
30	13.33399508
31	13.24967323
32	13.16878747
33	13.08728797
34	13.00767077
35	12.92773859
36	12.85090248
37	12.77321722
38	12.69692169
39	12.62135061
40	12.54679356
41	12.47313401
42	12.40102332
43	12.32818565
44	12.25870301
45	12.18896453
46	12.12116829
47	12.05216739
48	11.98476939
49	11.91839279
50	11.85199437
51	11.78641982
52	11.7221622
53	11.65798747
54	11.59484068
55	11.5328411
56	11.47093313
57	11.41117572
58	11.35067525
59	11.29213132
60	11.2344601
61	11.1768068
62	11.11941815
63	11.06382542
64	11.00928517
65	10.95402185
66	10.90013756
67	10.84908473
68	10.79661229
69	10.74406655
70	10.69275498
71	10.64172027
72	10.59084728
73	10.54226493
74	10.49296629
75	10.44500014
76	10.39877738
77	10.35161126
78	10.30401913
79	10.25803088
80	10.21386464
81	10.1688273
82	10.12503319
83	10.08131703
84	10.03917152
85	9.995531121
86	9.952671222
87	9.912188174
88	9.870359854
89	9.830320124
90	9.791391404
91	9.753565555
92	9.715123447
93	9.677591239
94	9.639469042
95	9.602130245
96	9.565018059
97	9.528685755
98	9.492450237
99	9.456225243
100	9.422217522
101	9.38687425
102	9.352999068
103	9.318619149
104	9.285759023
105	9.251835265
106	9.220430996
107	9.189017299
108	9.157588526
109	9.127797629
110	9.097423207
111	9.068054144
112	9.039057328
113	9.011172527
114	8.98200778
115	8.954338097
116	8.926314917
117	8.898226477
118	8.869460682
119	8.842690995
120	8.814980061
121	8.788542304
122	8.761932284
123	8.737065876
124	8.712129037
125	8.687473105
126	8.662928824
127	8.639371256
128	8.615649992
129	8.592279835
130	8.569629314
131	8.546803853
132	8.524943304
133	8.503223176
134	8.482056191
135	8.460397987
136	8.438849664
137	8.419187288
138	8.399141099
139	8.378809033
140	8.359825369
141	8.339420749
142	8.321325987
143	8.302160697
144	8.283351342
145	8.264519788
146	8.246926818
147	8.22838321
148	8.211214236
149	8.194073807
150	8.177217244
151	8.160628959
152	8.143903247
153	8.127756715
154	8.111909018
155	8.094856512
156	8.078155776
157	8.061499858
158	8.04557486
159	8.030683449
160	8.01515578
161	7.999284274
162	7.983629113
163	7.969468456
164	7.955631157
165	7.941119978
166	7.927830759
167	7.914256324
168	7.900564973
169	7.888024653
170	7.875202169
171	7.862976801
172	7.851127961
173	7.838800399
174	7.826140251
175	7.813811575
176	7.801498978
177	7.789711475
178	7.778595953
179	7.767612643
180	7.756439182
181	7.745496906
182	7.733854525
183	7.72215267
184	7.711684797
185	7.701212922
186	7.69103302
187	7.680304418
188	7.670756226
189	7.660826829
190	7.650364378
191	7.640214311
192	7.629974835
193	7.620466358
194	7.610985241
195	7.60230531
196	7.593417537
197	7.584739979
198	7.575295076
199	7.567115836
200	7.558312988
201	7.550298202
202	7.54226706
203	7.533910872
204	7.52600771
205	7.517676699
206	7.509732973
207	7.501987661
208	7.494484369
209	7.486974846
210	7.479910002
211	7.472038053
212	7.464789976
213	7.457998038
214	7.45043155
215	7.442668274
