iter	Passed	Remaining
0	12	24783
1	28	28013
2	42	28533
3	56	28142
4	69	27847
5	83	27646
6	94	27017
7	105	26235
8	114	25411
9	123	24674
10	133	24059
11	142	23656
12	151	23099
13	159	22626
14	169	22405
15	178	22118
16	187	21855
17	196	21588
18	204	21302
19	212	21056
20	222	20938
21	232	20895
22	241	20766
23	250	20592
24	259	20467
25	269	20478
26	280	20471
27	290	20468
28	300	20392
29	310	20378
30	320	20385
31	332	20471
32	345	20617
33	358	20735
34	369	20725
35	379	20685
36	388	20605
37	397	20549
38	407	20473
39	416	20401
40	424	20305
41	433	20219
42	443	20186
43	452	20130
44	462	20072
45	472	20055
46	480	19970
47	493	20052
48	502	19997
49	511	19955
50	520	19891
51	529	19818
52	538	19784
53	548	19765
54	558	19755
55	568	19724
56	578	19725
57	588	19704
58	598	19691
59	608	19668
60	617	19635
61	627	19609
62	636	19570
63	644	19496
64	653	19462
65	663	19428
66	672	19412
67	682	19384
68	691	19340
69	699	19299
70	709	19271
71	719	19256
72	727	19193
73	735	19149
74	744	19105
75	753	19070
76	761	19024
77	769	18964
78	779	18956
79	788	18913
80	797	18893
81	806	18872
82	815	18841
83	823	18785
84	831	18726
85	838	18667
86	846	18612
87	853	18549
88	863	18532
89	872	18513
90	880	18472
91	890	18467
92	900	18460
93	911	18475
94	920	18457
95	930	18453
96	938	18412
97	947	18388
98	956	18362
99	965	18346
100	973	18308
101	981	18271
102	990	18234
103	999	18220
104	1008	18194
105	1016	18163
106	1024	18130
107	1033	18107
108	1041	18073
109	1050	18043
110	1058	18018
111	1067	17994
112	1075	17967
113	1084	17940
114	1092	17913
115	1101	17891
116	1110	17866
117	1118	17843
118	1126	17809
119	1135	17785
120	1143	17763
121	1152	17738
122	1160	17708
123	1167	17669
124	1177	17657
125	1185	17631
126	1194	17615
127	1202	17582
128	1210	17559
129	1218	17525
130	1226	17500
131	1235	17477
132	1243	17455
133	1251	17432
134	1260	17415
135	1268	17390
136	1277	17378
137	1286	17365
138	1296	17353
139	1305	17348
140	1314	17333
141	1324	17325
142	1332	17303
143	1340	17276
144	1348	17253
145	1356	17224
146	1365	17207
147	1374	17200
148	1383	17192
149	1392	17174
150	1400	17150
151	1408	17128
152	1418	17129
153	1427	17113
154	1436	17096
155	1444	17069
156	1452	17047
157	1460	17025
158	1469	17016
159	1478	17007
160	1487	16991
161	1495	16972
162	1505	16964
163	1514	16954
164	1524	16956
165	1533	16941
166	1543	16940
167	1552	16932
168	1561	16918
169	1571	16915
170	1581	16915
171	1591	16915
172	1600	16902
173	1609	16886
174	1617	16865
175	1626	16852
176	1634	16829
177	1642	16816
178	1652	16808
179	1662	16808
180	1669	16781
181	1679	16773
182	1686	16749
183	1696	16743
184	1705	16733
185	1716	16738
186	1726	16737
187	1738	16753
188	1749	16760
189	1758	16753
190	1767	16741
191	1778	16744
192	1785	16721
193	1793	16693
194	1801	16674
195	1810	16660
196	1818	16640
197	1826	16620
198	1835	16611
199	1844	16596
200	1853	16589
201	1863	16584
202	1872	16575
203	1881	16565
204	1891	16566
205	1901	16560
206	1912	16565
207	1921	16554
208	1931	16552
209	1940	16542
210	1950	16533
211	1959	16524
212	1969	16521
213	1978	16510
214	1986	16494
215	1997	16496
216	2005	16482
217	2015	16475
218	2024	16466
219	2033	16456
220	2043	16446
221	2053	16445
222	2063	16445
223	2073	16437
224	2083	16432
225	2091	16420
226	2101	16411
227	2110	16404
228	2119	16394
229	2129	16386
230	2138	16378
231	2147	16368
232	2157	16363
233	2167	16357
234	2176	16350
235	2187	16350
236	2196	16342
237	2207	16343
238	2217	16335
239	2224	16316
240	2234	16306
241	2245	16309
242	2255	16311
243	2265	16307
244	2275	16303
245	2284	16285
246	2292	16272
247	2301	16260
248	2311	16255
249	2320	16243
250	2329	16231
251	2338	16223
252	2349	16220
253	2358	16215
254	2368	16204
255	2376	16189
256	2386	16185
257	2396	16178
258	2405	16172
259	2414	16161
260	2424	16152
261	2433	16140
262	2443	16136
263	2452	16125
264	2462	16122
265	2470	16106
266	2478	16086
267	2488	16083
268	2498	16075
269	2508	16069
270	2519	16071
271	2527	16059
272	2535	16042
273	2544	16025
274	2551	16002
275	2558	15982
276	2566	15965
277	2574	15945
278	2582	15931
279	2591	15918
280	2599	15901
281	2607	15883
282	2615	15866
283	2623	15849
284	2631	15833
285	2638	15815
286	2647	15803
287	2655	15788
288	2664	15776
289	2672	15759
290	2681	15747
291	2689	15732
292	2697	15715
293	2701	15677
294	2709	15658
295	2717	15644
296	2726	15631
297	2734	15617
298	2743	15605
299	2752	15596
300	2760	15583
301	2769	15569
302	2777	15557
303	2785	15541
304	2793	15525
305	2801	15508
306	2810	15497
307	2817	15478
308	2826	15465
309	2834	15450
310	2842	15439
311	2850	15423
312	2859	15413
313	2867	15398
314	2875	15382
315	2884	15371
316	2893	15359
317	2901	15348
318	2909	15334
319	2918	15321
320	2926	15307
321	2935	15294
322	2942	15276
323	2950	15263
324	2959	15253
325	2967	15239
326	2976	15228
327	2985	15218
328	2996	15216
329	3005	15209
330	3014	15201
331	3024	15192
332	3033	15184
333	3042	15177
334	3052	15169
335	3061	15159
336	3071	15154
337	3079	15141
338	3088	15134
339	3097	15122
340	3107	15117
341	3115	15105
342	3124	15095
343	3134	15087
344	3144	15083
345	3153	15077
346	3162	15066
347	3172	15059
348	3181	15050
349	3191	15046
350	3202	15045
351	3211	15036
352	3222	15035
353	3232	15029
354	3242	15024
355	3253	15022
356	3261	15012
357	3271	15004
358	3280	14993
359	3288	14981
360	3297	14972
361	3307	14965
362	3316	14955
363	3326	14948
364	3335	14942
365	3344	14933
366	3353	14923
367	3361	14909
368	3371	14902
369	3380	14893
370	3389	14881
371	3398	14872
372	3408	14865
373	3416	14854
374	3426	14849
375	3437	14846
376	3447	14840
377	3456	14830
378	3465	14822
379	3474	14812
380	3484	14806
381	3493	14795
382	3501	14782
383	3507	14762
384	3516	14749
385	3524	14738
386	3534	14731
387	3543	14720
388	3552	14710
389	3560	14699
390	3568	14685
391	3576	14672
392	3584	14657
393	3592	14643
394	3600	14631
395	3609	14619
396	3617	14606
397	3624	14588
398	3632	14577
399	3640	14563
400	3648	14549
401	3656	14536
402	3665	14523
403	3673	14513
404	3682	14501
405	3691	14491
406	3698	14474
407	3706	14461
408	3714	14450
409	3723	14438
410	3731	14426
411	3739	14414
412	3748	14402
413	3756	14391
414	3765	14380
415	3773	14367
416	3781	14356
417	3790	14344
418	3798	14332
419	3807	14325
420	3816	14313
421	3824	14300
422	3832	14287
423	3840	14276
424	3848	14263
425	3858	14254
426	3866	14241
427	3874	14230
428	3884	14225
429	3893	14215
430	3902	14206
431	3910	14195
432	3919	14183
433	3929	14179
434	3936	14162
435	3944	14149
436	3953	14138
437	3961	14127
438	3969	14116
439	3978	14105
440	3986	14094
441	3995	14082
442	4003	14070
443	4011	14058
444	4019	14045
445	4027	14034
446	4036	14023
447	4044	14012
448	4053	14002
449	4061	13988
450	4069	13977
451	4077	13965
452	4086	13956
453	4094	13944
454	4103	13932
455	4111	13921
456	4120	13912
457	4129	13901
458	4137	13889
459	4145	13879
460	4153	13866
461	4160	13850
462	4168	13839
463	4177	13829
464	4187	13821
465	4194	13808
466	4202	13796
467	4210	13784
468	4219	13774
469	4228	13764
470	4236	13753
471	4245	13743
472	4253	13730
473	4261	13720
474	4270	13709
475	4278	13698
476	4286	13686
477	4295	13677
478	4304	13667
479	4312	13657
480	4320	13642
481	4328	13632
482	4336	13621
483	4345	13610
484	4353	13600
485	4360	13584
486	4368	13572
487	4376	13560
488	4385	13552
489	4396	13547
490	4403	13534
491	4412	13523
492	4420	13512
493	4426	13495
494	4435	13484
495	4443	13473
496	4450	13460
497	4458	13446
498	4466	13435
499	4474	13424
500	4483	13413
501	4491	13402
502	4500	13393
503	4508	13383
504	4516	13371
505	4524	13358
506	4531	13344
507	4539	13333
508	4548	13323
509	4556	13311
510	4563	13298
511	4571	13286
512	4581	13278
513	4588	13266
514	4597	13256
515	4605	13245
516	4613	13234
517	4622	13224
518	4631	13216
519	4639	13205
520	4646	13191
521	4653	13176
522	4661	13163
523	4669	13152
524	4677	13140
525	4685	13131
526	4695	13123
527	4703	13112
528	4712	13103
529	4720	13093
530	4729	13082
531	4737	13073
532	4745	13061
533	4753	13050
534	4762	13040
535	4770	13030
536	4778	13018
537	4786	13006
538	4794	12996
539	4804	12989
540	4812	12978
541	4819	12965
542	4827	12952
543	4836	12943
544	4843	12931
545	4852	12922
546	4860	12909
547	4867	12896
548	4876	12887
549	4884	12878
550	4893	12869
551	4902	12860
552	4911	12851
553	4920	12843
554	4929	12833
555	4937	12823
556	4944	12809
557	4953	12800
558	4961	12790
559	4970	12780
560	4977	12768
561	4985	12756
562	4993	12746
563	5002	12737
564	5012	12730
565	5021	12721
566	5029	12711
567	5037	12699
568	5046	12690
569	5054	12679
570	5061	12668
571	5069	12655
572	5076	12641
573	5084	12630
574	5093	12621
575	5100	12610
576	5109	12601
577	5117	12590
578	5125	12579
579	5134	12570
580	5142	12559
581	5152	12552
582	5160	12542
583	5168	12531
584	5177	12522
585	5185	12512
586	5190	12494
587	5197	12482
588	5205	12470
589	5213	12458
590	5221	12448
591	5228	12435
592	5236	12424
593	5245	12415
594	5253	12405
595	5261	12394
596	5269	12382
597	5278	12375
598	5285	12363
599	5294	12353
600	5301	12341
601	5309	12331
602	5316	12317
603	5325	12308
604	5333	12297
605	5341	12288
606	5350	12278
607	5358	12268
608	5366	12257
609	5374	12246
610	5382	12236
611	5390	12226
612	5399	12217
613	5407	12206
614	5417	12199
615	5425	12189
616	5433	12179
617	5442	12170
618	5450	12160
619	5458	12150
620	5467	12141
621	5475	12129
622	5482	12118
623	5491	12109
624	5499	12097
625	5504	12082
626	5512	12071
627	5520	12061
628	5528	12049
629	5536	12038
630	5544	12030
631	5553	12020
632	5561	12010
633	5570	12002
634	5579	11993
635	5587	11983
636	5596	11974
637	5602	11961
638	5610	11948
639	5619	11940
640	5627	11931
641	5635	11920
642	5644	11911
643	5652	11902
644	5661	11892
645	5668	11881
646	5676	11871
647	5684	11861
648	5692	11850
649	5700	11838
650	5708	11829
651	5716	11819
652	5725	11810
653	5733	11800
654	5741	11790
655	5749	11778
656	5756	11766
657	5765	11758
658	5773	11747
659	5781	11737
660	5789	11728
661	5798	11718
662	5805	11707
663	5813	11696
664	5821	11686
665	5829	11675
666	5837	11665
667	5846	11657
